pass_or_fail,test_plan,cushion,test_plan_id,seat_model,test_date,vert_burn_length_front,vert_burn_length_back,horiz_burn_length_top,horiz_burn_length_bottom,weight_loss_lbs,weight_loss_percent,cover_config,foam_a_percent,foam_a_material,foam_b_percent,foam_b_material,foam_c_percent,foam_c_material,foam_d_percent,foam_d_material,foam_e_percent,foam_e_material,decorative_insulation_part_number,decorative_insulation_mfr,backing,adhesive_one,adhesive_two,fireblock_type,fireblock_part_number,fireblock_color,fireblock_mfr,flame_treatment,fireblock_percent,thermoplastic_part_number,thermoplastic_mfr
Pass,4FR4112-12-2005,Back,C2,4112,"February 25, 2014",4.6,0,3,1.5,0.18,3.71,Fully Encapsulated,58,QS31263YL,42,Synergy 1000,,,,,,,n/a,n/a,n/a,CC-1025,Coral Adhesives,7725R,33BWJ2417QK16072,Grey,BOTANY WEAVING         MILL LTD,n/a,n/a,n/a,n/a
Pass,4FR4112-12-2005,Back,C1,4112,"February 25, 2014",4.4,0,3.6,1.5,0.3,5.74,Fully Encapsulated,100,QS31263YL,,,,,,,,,n/a,n/a,n/a,CC-1025,Coral Adhesives,7725R,33BWJ2417QK16072,Grey,BOTANY WEAVING         MILL LTD,n/a,n/a,n/a,n/a
Pass,4FR4112-12-2011,BACK/HEADREST,1,4112,"August 12, 2015",4.3,0,3.3,4.9,0.27,5.29,Fully Encapsulated,100,QS31263YL,,,,,,,,,n/a,n/a,n/a,CC-1025,Coral Adhesives,7725R,16BWJ2417BK402,GREY/GOLD,BOTANY WEAVING         MILL LTD,n/a,n/a,n/a,n/a
Pass,4FR4112-12-2011,BOTTOM,2,4112,"August 12, 2015",4.1,0,3.1,2.7,0.2,4.04,Fully Encapsulated,58,QS51288YL,42,Synergy 1000,,,,,,,n/a,n/a,n/a,CC-1025,Coral Adhesives,7725R,6BWJ2417BK402,GREY/GOLD,BOTANY WEAVING         MILL LTD,n/a,n/a,n/a,n/a
Pass,4FR4112-12-2011,BACK,3,4112,"August 12, 2015",4.2,0,2.8,4.7,0.33,6.42,Fully Encapsulated,100,QS31263YL,,,,,,,,,n/a,n/a,n/a,CC-1025,Coral Adhesives,7725R,9BWJ5142HX8541,BURGUNDY,BOTANY WEAVING         MILL LTD,n/a,n/a,n/a,n/a
Pass,4FR4112-12-2011,BOTTOM,4,4112,"August 12, 2015",3.5,0,2.6,3.2,0.23,4.83,Fully Encapsulated,58,QS51288YL,42,Synergy 1000,,,,,,,n/a,n/a,n/a,CC-1025,Coral Adhesives,7725R,9BWJ5142HX8541,BURGUNDY,BOTANY WEAVING         MILL LTD,n/a,n/a,n/a,n/a
Pass,4FR4112-12-2003,BACK,5,4112,"April 19, 2016",2.8,0,4.4,3.3,0.29,5.06,Fully Encapsulated,72.4,QS41288YL,27.6,DURALITE,,,,,,,n/a,n/a,n/a,CC-1025,Coral Adhesives,7725R,LL-3330,REGAL BLUE,MUIRHEAD & SONS,n/a,n/a,n/a,n/a
Pass,4FR4112-12-2003,BOTTOM,6,4112,"April 19, 2016",2.2,0,4.1,2.2,0.25,4.44,Fully Encapsulated,58.1,QS51288YL,41.9,DURALITE,,,,,,,n/a,n/a,n/a,CC-1025,Coral Adhesives,7725R,LL-3330,REGAL BLUE,MUIRHEAD & SONS,n/a,n/a,n/a,n/a
Pass,4FR4114-12,Headrest,132,4114,"February 22, 2014",5.3,0,6,12.2,0.35,5.92,Fully Encapsulated,4,LD45FR,96,QS51288YL,,,,,,,n/a,n/a,n/a,CC-1025/LB,Coral Adhesives,7535R,ULFR-5796,Pewter,Tapis corp,n/a,n/a,n/a,n/a
Pass,4FR4114-12,Headrest,133,4114,"February 22, 2014",6.5,0,6.6,13.1,0.36,6.02,Fully Encapsulated,4,LD45FR,96,QS51288YL,,,,,,,n/a,n/a,n/a,CC-1025/LB,Coral Adhesives,7535R,ULFR-5796,Pewter,Tapis corp,n/a,n/a,n/a,n/a
